Unnamed: 0,Date,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed,SeaLevel
0,2007-05-29,41.95469,-87.800991,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
5,2007-05-29,41.9216,-87.666455,2,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
25,2007-06-05,41.95469,-87.800991,3,0,64.0,47.0,56.0,48.0,51.0,9.0,0.0,0.42,29.1,5.2,5.0,7.6,29.79
30,2007-06-05,41.9216,-87.666455,1,0,63.0,51.0,57.0,47.0,52.0,8.0,0.0,0.27,29.16,6.2,3.0,8.1,29.78
85,2007-06-26,41.95469,-87.800991,1,0,92.0,70.0,81.0,69.0,72.0,0.0,16.0,0.16,29.39,6.1,22.0,7.1,30.11
91,2007-06-26,41.9216,-87.666455,1,0,91.0,73.0,82.0,69.0,72.0,0.0,17.0,0.0,29.45,7.3,21.0,8.1,30.09
155,2007-06-29,41.95469,-87.800991,2,0,70.0,56.0,63.0,55.0,59.0,2.0,0.0,0.0,29.41,7.6,2.0,8.3,30.13
158,2007-06-29,41.891118,-87.654491,2,0,71.0,56.0,64.0,56.0,60.0,1.0,0.0,0.0,29.47,7.4,2.0,8.2,30.11
201,2007-07-02,41.95469,-87.800991,3,0,79.0,53.0,66.0,50.0,58.0,0.0,1.0,0.0,29.49,5.9,14.0,8.1,30.22
206,2007-07-02,41.9216,-87.666455,2,0,77.0,58.0,68.0,50.0,59.0,0.0,3.0,0.0,29.55,7.4,12.0,8.5,30.21
275,2007-07-11,41.95469,-87.800991,18,0,77.0,62.0,70.0,51.0,59.0,0.0,5.0,0.0,29.23,8.8,30.0,10.9,29.93
282,2007-07-11,41.9216,-87.666455,4,0,77.0,63.0,70.0,51.0,59.0,0.0,5.0,0.0,29.28,9.1,30.0,11.2,29.92
427,2007-07-18,41.95469,-87.800991,7,0,85.0,69.0,77.0,68.0,71.0,0.0,12.0,1.55,29.11,9.1,24.0,10.1,29.84
434,2007-07-18,41.9216,-87.666455,12,0,85.0,69.0,77.0,69.0,71.0,0.0,12.0,0.92,29.18,10.3,24.0,10.6,29.83
553,2007-07-18,41.686398,-87.531635,50,1,85.0,69.0,77.0,69.0,71.0,0.0,12.0,0.92,29.18,10.3,24.0,10.6,29.83
