Unnamed: 0,Date,Latitude,Longitude,NumMosquitos,WnvPresent,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,ResultSpeed,ResultDir,AvgSpeed,SeaLevel
0,2007-05-29,41.95469,-87.800991,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
1,2007-05-29,41.95469,-87.800991,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
2,2007-05-29,41.994991,-87.769279,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
3,2007-05-29,41.974089,-87.824812,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
4,2007-05-29,41.974089,-87.824812,4,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
5,2007-05-29,41.9216,-87.666455,2,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
6,2007-05-29,41.891118,-87.654491,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
7,2007-05-29,41.867108,-87.654224,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
8,2007-05-29,41.867108,-87.654224,2,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
9,2007-05-29,41.896282,-87.655232,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
10,2007-05-29,41.919343,-87.694259,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
11,2007-05-29,41.921965,-87.632085,2,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
12,2007-05-29,41.921965,-87.632085,3,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
13,2007-05-29,41.688324,-87.676709,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
14,2007-05-29,41.688324,-87.676709,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
15,2007-05-29,41.862292,-87.64886,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
16,2007-05-29,41.720848,-87.666014,3,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
17,2007-05-29,41.731922,-87.677512,5,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
18,2007-05-29,41.731922,-87.677512,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
19,2007-05-29,41.891126,-87.61156,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
20,2007-05-29,41.891126,-87.61156,2,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
21,2007-05-29,41.999129,-87.795585,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
22,2007-05-29,42.01743,-87.687769,1,0,88.0,60.0,74.0,58.0,65.0,0.0,9.0,0.0,29.39,5.8,18.0,6.5,30.11
23,2007-05-29,41.907645,-87.760886,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
24,2007-05-29,41.732984,-87.649642,1,0,88.0,65.0,77.0,59.0,66.0,0.0,12.0,0.0,29.44,5.8,16.0,7.4,30.09
25,2007-06-05,41.95469,-87.800991,3,0,64.0,47.0,56.0,48.0,51.0,9.0,0.0,0.42,29.1,5.2,5.0,7.6,29.79
