WnvPresent,Tmax,DewPoint,Heat,PrecipTotal,StnPressure,ResultSpeed,ResultDir,Latitude,Longitude
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.95469,-87.800991
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.95469,-87.800991
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.994991,-87.769279
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.974089,-87.824812
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.974089,-87.824812
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.9216,-87.666455
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.891118,-87.654491
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.867108,-87.654224
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.867108,-87.654224
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.896282,-87.655232
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.919343,-87.694259
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.921965,-87.632085
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.921965,-87.632085
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.688324,-87.676709
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.688324,-87.676709
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.862292,-87.64886
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.720848,-87.666014
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.731922,-87.677512
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.731922,-87.677512
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.891126,-87.61156
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.891126,-87.61156
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.999129,-87.795585
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,42.01743,-87.687769
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.907645,-87.760886
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.732984,-87.649642
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.95469,-87.800991
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.95469,-87.800991
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.95469,-87.800991
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.974089,-87.824812
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.974089,-87.824812
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.9216,-87.666455
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.9216,-87.666455
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.9216,-87.666455
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.891118,-87.654491
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.867108,-87.654224
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.867108,-87.654224
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.867108,-87.654224
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.896282,-87.655232
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.919343,-87.694259
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.919343,-87.694259
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.921965,-87.632085
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.688324,-87.676709
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.720848,-87.666014
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.731922,-87.677512
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.731922,-87.677512
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.731922,-87.677512
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.999129,-87.795585
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.999129,-87.795585
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.907645,-87.760886
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.732984,-87.649642
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.981964,-87.812827
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.944869,-87.832763
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,42.011601,-87.811506
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.94983,-87.698457
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.979243,-87.750938
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.986921,-87.689778
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.801498,-87.763416
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.906638,-87.701431
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.723195,-87.64997
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.868077,-87.666901
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.868077,-87.666901
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.869216,-87.627561
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.662014,-87.724608
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.662014,-87.724608
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.662014,-87.724608
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.961743,-87.76007
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.961743,-87.76007
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.953067,-87.776792
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.953067,-87.776792
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.878114,-87.629798
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.958271,-87.702575
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.958271,-87.702575
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.932094,-87.700117
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.994469,-87.667736
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,42.006858,-87.675919
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.916265,-87.800515
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.916265,-87.800515
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.846075,-87.716277
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.918705,-87.752329
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.682587,-87.707973
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.682587,-87.707973
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.725517,-87.614258
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.948167,-87.730698
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.948167,-87.730698
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.963976,-87.69181
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.95469,-87.800991
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.95469,-87.800991
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.95469,-87.800991
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.994991,-87.769279
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.994991,-87.769279
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.974089,-87.824812
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.9216,-87.666455
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.9216,-87.666455
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.891118,-87.654491
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.891118,-87.654491
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.867108,-87.654224
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.896282,-87.655232
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.919343,-87.694259
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.688324,-87.676709
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.688324,-87.676709
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.688324,-87.676709
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.731922,-87.677512
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.891126,-87.61156
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.891126,-87.61156
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.999129,-87.795585
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.999129,-87.795585
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,42.01743,-87.687769
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,42.01743,-87.687769
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.944869,-87.832763
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.944869,-87.832763
