WnvPresent,Tmax,DewPoint,Heat,PrecipTotal,StnPressure,ResultSpeed,ResultDir,Latitude,Longitude
0,88.0,58.0,0.0,0.0,29.39,5.8,18.0,41.95469,-87.800991
0,88.0,59.0,0.0,0.0,29.44,5.8,16.0,41.9216,-87.666455
0,64.0,48.0,9.0,0.42,29.1,5.2,5.0,41.95469,-87.800991
0,63.0,47.0,8.0,0.27,29.16,6.2,3.0,41.9216,-87.666455
0,92.0,69.0,0.0,0.16,29.39,6.1,22.0,41.95469,-87.800991
0,91.0,69.0,0.0,0.0,29.45,7.3,21.0,41.9216,-87.666455
0,70.0,55.0,2.0,0.0,29.41,7.6,2.0,41.95469,-87.800991
0,71.0,56.0,1.0,0.0,29.47,7.4,2.0,41.891118,-87.654491
0,79.0,50.0,0.0,0.0,29.49,5.9,14.0,41.95469,-87.800991
0,77.0,50.0,0.0,0.0,29.55,7.4,12.0,41.9216,-87.666455
0,77.0,51.0,0.0,0.0,29.23,8.8,30.0,41.95469,-87.800991
0,77.0,51.0,0.0,0.0,29.28,9.1,30.0,41.9216,-87.666455
0,85.0,68.0,0.0,1.55,29.11,9.1,24.0,41.95469,-87.800991
0,85.0,69.0,0.0,0.92,29.18,10.3,24.0,41.9216,-87.666455
1,85.0,69.0,0.0,0.92,29.18,10.3,24.0,41.686398,-87.531635
0,82.0,62.0,0.0,0.01,29.26,7.7,36.0,41.862292,-87.64886
0,83.0,63.0,0.0,0.16,29.21,7.0,1.0,41.994469,-87.667736
0,83.0,60.0,0.0,0.0,29.35,6.4,23.0,41.673408,-87.599862
1,83.0,60.0,0.0,0.0,29.35,6.4,23.0,41.673408,-87.599862
0,83.0,68.0,0.0,0.17,29.11,3.0,3.0,41.95469,-87.800991
0,83.0,67.0,0.0,0.04,29.16,1.2,36.0,41.9216,-87.666455
0,92.0,62.0,0.0,0.0,29.29,3.5,9.0,41.95469,-87.800991
1,92.0,62.0,0.0,0.0,29.29,3.5,9.0,41.95469,-87.800991
0,91.0,63.0,0.0,0.0,29.34,2.1,13.0,41.9216,-87.666455
1,91.0,63.0,0.0,0.0,29.34,2.1,13.0,41.688324,-87.676709
0,91.0,66.0,0.0,0.0,29.31,6.5,23.0,41.688324,-87.676709
1,91.0,66.0,0.0,0.0,29.31,6.5,23.0,41.731922,-87.677512
0,88.0,58.0,0.0,0.0,29.36,3.3,6.0,41.686398,-87.531635
0,91.0,73.0,0.0,1.31,29.06,6.2,25.0,41.95469,-87.800991
1,91.0,73.0,0.0,1.31,29.06,6.2,25.0,41.974089,-87.824812
0,92.0,73.0,0.0,0.06,29.11,6.3,24.0,41.9216,-87.666455
1,92.0,73.0,0.0,0.06,29.11,6.3,24.0,41.725517,-87.614258
1,87.0,72.0,0.0,0.09,29.18,1.5,4.0,41.673408,-87.599862
0,87.0,72.0,0.0,0.09,29.18,1.5,4.0,41.673408,-87.599862
0,84.0,71.0,0.0,0.05,29.13,2.5,29.0,41.923738,-87.785288
0,85.0,71.0,0.0,0.46,29.19,3.1,27.0,41.726465,-87.585413
1,85.0,71.0,0.0,0.46,29.19,3.1,27.0,41.740641,-87.546587
1,80.0,67.0,0.0,0.23,29.17,3.4,7.0,41.95469,-87.800991
0,80.0,67.0,0.0,0.23,29.17,3.4,7.0,41.95469,-87.800991
0,81.0,69.0,0.0,0.83,29.23,4.9,6.0,41.9216,-87.666455
1,81.0,69.0,0.0,0.83,29.23,4.9,6.0,41.9216,-87.666455
0,77.0,65.0,0.0,0.0,29.33,3.5,1.0,41.673408,-87.599862
1,77.0,65.0,0.0,0.0,29.33,3.5,1.0,41.673408,-87.599862
0,80.0,54.0,0.0,0.0,29.46,6.1,31.0,41.726465,-87.585413
1,80.0,54.0,0.0,0.0,29.46,6.1,31.0,41.726465,-87.585413
1,87.0,70.0,0.0,0.0,29.21,3.8,18.0,41.95469,-87.800991
0,87.0,70.0,0.0,0.0,29.21,3.8,18.0,41.95469,-87.800991
1,85.0,70.0,0.0,0.01,29.26,3.5,17.0,41.9216,-87.666455
0,85.0,70.0,0.0,0.01,29.26,3.5,17.0,41.891118,-87.654491
0,90.0,70.0,0.0,0.88,29.29,5.1,21.0,41.688324,-87.676709
1,90.0,70.0,0.0,0.88,29.29,5.1,21.0,41.720848,-87.666014
1,80.0,67.0,0.0,0.24,29.11,5.8,25.0,41.95469,-87.800991
0,80.0,67.0,0.0,0.24,29.11,5.8,25.0,41.95469,-87.800991
0,81.0,67.0,0.0,0.2,29.16,5.5,25.0,41.9216,-87.666455
1,81.0,67.0,0.0,0.2,29.16,5.5,25.0,41.688324,-87.676709
0,90.0,65.0,0.0,0.0,29.34,7.8,21.0,41.673408,-87.599862
1,90.0,65.0,0.0,0.0,29.34,7.8,21.0,41.673408,-87.599862
1,89.0,60.0,0.0,0.0,29.28,2.8,22.0,41.95469,-87.800991
0,89.0,60.0,0.0,0.0,29.28,2.8,22.0,41.994991,-87.769279
0,90.0,59.0,0.0,0.0,29.34,2.2,24.0,41.9216,-87.666455
1,90.0,59.0,0.0,0.0,29.34,2.2,24.0,41.801179,-87.679447
0,91.0,62.0,0.0,0.0,29.31,6.4,19.0,41.688324,-87.676709
1,91.0,62.0,0.0,0.0,29.31,6.4,19.0,41.688324,-87.676709
0,84.0,66.0,0.0,0.08,29.27,12.8,20.0,41.673408,-87.599862
1,84.0,66.0,0.0,0.08,29.27,12.8,20.0,41.726465,-87.585413
0,67.0,42.0,8.0,0.0,29.4,1.8,3.0,41.95469,-87.800991
1,67.0,42.0,8.0,0.0,29.4,1.8,3.0,41.95469,-87.800991
0,66.0,43.0,9.0,0.0,29.46,1.9,5.0,41.867108,-87.654224
1,66.0,43.0,9.0,0.0,29.46,1.9,5.0,41.759346,-87.745602
0,88.0,58.0,0.0,0.0,29.34,12.9,19.0,41.95469,-87.800991
0,89.0,57.0,0.0,0.0,29.41,12.5,19.0,41.9216,-87.666455
0,84.0,59.0,0.0,0.0,29.47,3.5,25.0,41.688324,-87.676709
0,84.0,59.0,0.0,0.0,29.41,5.0,26.0,41.958271,-87.702575
1,84.0,59.0,0.0,0.0,29.47,3.5,25.0,41.673408,-87.599862
0,90.0,63.0,0.0,0.0,29.27,11.4,19.0,41.95469,-87.800991
0,91.0,62.0,0.0,0.0,29.34,10.0,19.0,41.867108,-87.654224
1,91.0,62.0,0.0,0.0,29.34,10.0,19.0,41.673408,-87.599862
0,83.0,66.0,0.0,0.01,29.29,7.3,23.0,41.673408,-87.599862
0,82.0,56.0,0.0,0.0,29.34,3.9,17.0,41.95469,-87.800991
0,83.0,56.0,0.0,0.0,29.39,4.6,17.0,41.9216,-87.666455
1,83.0,56.0,0.0,0.0,29.39,4.6,17.0,41.800737,-87.71188
0,77.0,44.0,1.0,0.0,29.27,12.1,28.0,41.673408,-87.599862
0,76.0,44.0,2.0,0.0,29.21,11.5,28.0,41.984809,-87.728492
0,62.0,51.0,7.0,0.0,29.06,6.8,30.0,41.95469,-87.800991
0,64.0,51.0,5.0,0.0,29.11,6.8,29.0,41.9216,-87.666455
0,60.0,46.0,11.0,0.12,29.36,7.4,3.0,41.95469,-87.800991
0,61.0,47.0,9.0,0.06,29.42,8.3,3.0,41.891118,-87.654491
0,61.0,39.0,13.0,0.0,29.42,10.5,4.0,41.974689,-87.890615
0,79.0,44.0,3.0,0.0,29.18,5.8,26.0,41.95469,-87.800991
0,80.0,43.0,1.0,0.0,29.23,6.3,25.0,41.891118,-87.654491
0,74.0,49.0,3.0,0.0,29.24,4.4,7.0,41.95469,-87.800991
0,72.0,49.0,4.0,0.0,29.3,5.0,6.0,41.891118,-87.654491
0,81.0,49.0,0.0,0.0,29.34,7.4,9.0,41.921965,-87.632085
0,81.0,49.0,0.0,0.0,29.28,5.5,9.0,42.01743,-87.687769
0,86.0,67.0,0.0,3.97,28.97,7.2,18.0,41.95469,-87.800991
0,88.0,68.0,0.0,0.87,29.03,6.3,18.0,41.867108,-87.654224
0,89.0,67.0,0.0,0.06,29.15,5.3,12.0,41.867108,-87.654224
0,89.0,67.0,0.0,0.09,29.09,4.0,11.0,41.974689,-87.890615
0,86.0,60.0,0.0,0.0,29.0,6.4,4.0,41.95469,-87.800991
0,86.0,61.0,0.0,0.0,29.2,6.4,4.0,41.891118,-87.654491
0,78.0,54.0,0.0,0.0,28.95,13.4,30.0,41.726465,-87.585413
0,77.0,54.0,0.0,0.0,28.89,12.2,30.0,41.974689,-87.890615
0,86.0,54.0,0.0,0.0,29.14,7.5,31.0,41.95469,-87.800991
0,85.0,54.0,0.0,0.0,29.2,4.2,30.0,41.891118,-87.654491
0,82.0,64.0,0.0,0.08,29.34,4.4,21.0,41.95469,-87.800991
0,84.0,65.0,0.0,0.12,29.41,3.6,21.0,41.867108,-87.654224
0,78.0,48.0,0.0,0.0,29.41,5.8,7.0,41.720848,-87.666014
0,79.0,46.0,0.0,0.0,29.36,4.8,7.0,41.974689,-87.890615
0,70.0,51.0,1.0,0.0,29.15,10.6,30.0,41.95469,-87.800991
0,70.0,52.0,1.0,0.0,29.21,10.1,29.0,41.891118,-87.654491
0,83.0,59.0,0.0,0.14,29.08,8.9,23.0,41.95469,-87.800991
1,83.0,59.0,0.0,0.14,29.08,8.9,23.0,41.95469,-87.800991
0,83.0,60.0,0.0,0.19,29.14,8.7,23.0,41.891118,-87.654491
1,83.0,60.0,0.0,0.19,29.14,8.7,23.0,41.801498,-87.763416
0,84.0,61.0,0.0,0.03,29.21,9.2,23.0,41.720848,-87.666014
1,84.0,61.0,0.0,0.03,29.21,9.2,23.0,41.704336,-87.703736
0,84.0,61.0,0.0,0.02,29.13,9.3,23.0,41.974689,-87.890615
0,81.0,54.0,0.0,0.0,29.23,6.2,26.0,41.95469,-87.800991
0,82.0,55.0,0.0,0.0,29.29,5.9,27.0,41.891118,-87.654491
1,82.0,55.0,0.0,0.0,29.29,5.9,27.0,41.743402,-87.731435
0,74.0,59.0,0.0,0.33,29.36,7.3,15.0,41.95469,-87.800991
0,74.0,59.0,0.0,0.23,29.41,6.4,15.0,41.891118,-87.654491
0,86.0,55.0,0.0,0.0,29.44,2.0,16.0,41.891118,-87.654491
0,86.0,55.0,0.0,0.0,29.38,1.5,14.0,42.01743,-87.687769
1,86.0,55.0,0.0,0.0,29.44,2.0,16.0,41.868077,-87.666901
0,83.0,61.0,0.0,0.0,29.33,9.1,21.0,41.95469,-87.800991
0,82.0,61.0,0.0,0.0,29.39,8.3,21.0,41.891118,-87.654491
1,83.0,61.0,0.0,0.0,29.33,9.1,21.0,41.944869,-87.832763
1,82.0,61.0,0.0,0.0,29.39,8.3,21.0,41.750498,-87.605294
0,67.0,61.0,0.0,1.19,29.41,10.7,8.0,41.896282,-87.655232
0,67.0,60.0,1.0,0.95,29.36,9.1,7.0,41.944869,-87.832763
0,75.0,55.0,0.0,0.0,29.48,5.2,6.0,41.891118,-87.654491
0,75.0,54.0,0.0,0.0,29.42,4.7,5.0,42.01743,-87.687769
1,75.0,54.0,0.0,0.0,29.42,4.7,5.0,41.974689,-87.890615
0,84.0,55.0,0.0,0.0,29.34,0.1,33.0,41.95469,-87.800991
0,84.0,56.0,0.0,0.0,29.4,1.1,13.0,41.891118,-87.654491
1,84.0,56.0,0.0,0.0,29.4,1.1,13.0,41.682587,-87.707973
1,84.0,55.0,0.0,0.0,29.34,0.1,33.0,41.951866,-87.725057
0,72.0,52.0,4.0,0.0,29.45,3.4,5.0,41.95469,-87.800991
0,71.0,51.0,2.0,0.0,29.51,4.5,8.0,41.891118,-87.654491
0,70.0,57.0,0.0,0.16,29.39,5.4,11.0,41.95469,-87.800991
0,70.0,57.0,0.0,0.02,29.44,5.4,11.0,41.891118,-87.654491
1,70.0,57.0,0.0,0.16,29.39,5.4,11.0,41.923738,-87.785288
0,59.0,46.0,13.0,0.59,29.18,8.8,13.0,41.891118,-87.654491
0,59.0,46.0,15.0,0.89,29.13,9.1,13.0,41.944869,-87.832763
0,68.0,45.0,5.0,0.0,29.2,9.5,3.0,41.95469,-87.800991
0,68.0,44.0,4.0,0.0,29.26,8.8,2.0,41.867108,-87.654224
0,78.0,51.0,0.0,0.0,29.34,6.6,6.0,41.95469,-87.800991
0,76.0,50.0,0.0,0.0,29.4,6.0,5.0,41.891118,-87.654491
0,82.0,65.0,0.0,0.79,29.34,7.4,19.0,41.95469,-87.800991
0,85.0,63.0,0.0,0.11,29.39,7.6,19.0,41.891118,-87.654491
0,90.0,67.0,0.0,0.92,29.01,7.2,29.0,41.95469,-87.800991
0,91.0,65.0,0.0,0.59,29.08,6.1,29.0,41.891118,-87.654491
1,83.0,60.0,0.0,0.16,28.97,9.0,29.0,41.720848,-87.666014
0,83.0,60.0,0.0,0.16,28.97,9.0,29.0,41.732984,-87.649642
0,83.0,61.0,0.0,0.0,28.91,10.5,31.0,41.974689,-87.890615
0,86.0,71.0,0.0,0.5,29.24,7.8,23.0,41.95469,-87.800991
0,87.0,70.0,0.0,0.84,29.31,10.0,22.0,41.891118,-87.654491
0,83.0,53.0,0.0,0.0,29.38,4.0,8.0,41.95469,-87.800991
0,82.0,54.0,0.0,0.0,29.44,4.1,8.0,41.891118,-87.654491
1,82.0,54.0,0.0,0.0,29.44,4.1,8.0,41.732984,-87.649642
1,83.0,53.0,0.0,0.0,29.38,4.0,8.0,42.008314,-87.777921
0,96.0,70.0,0.0,0.58,29.1,13.3,25.0,41.95469,-87.800991
0,97.0,69.0,0.0,0.0,29.17,13.4,24.0,41.891118,-87.654491
1,97.0,69.0,0.0,0.0,29.17,13.4,24.0,41.867108,-87.654224
1,96.0,70.0,0.0,0.58,29.1,13.3,25.0,41.964242,-87.757639
0,81.0,54.0,0.0,0.0,29.33,4.1,23.0,41.95469,-87.800991
0,81.0,52.0,0.0,0.0,29.39,2.7,23.0,41.891118,-87.654491
1,81.0,52.0,0.0,0.0,29.39,2.7,23.0,41.921965,-87.632085
0,81.0,57.0,0.0,0.0,29.23,7.6,30.0,41.95469,-87.800991
0,82.0,54.0,0.0,0.0,29.29,6.2,29.0,41.891118,-87.654491
1,82.0,54.0,0.0,0.0,29.29,6.2,29.0,41.720848,-87.666014
1,81.0,57.0,0.0,0.0,29.23,7.6,30.0,41.964242,-87.757639
1,78.0,56.0,0.0,0.0,29.26,8.6,5.0,41.95469,-87.800991
0,78.0,56.0,0.0,0.0,29.26,8.6,5.0,41.95469,-87.800991
0,79.0,55.0,0.0,0.0,29.33,10.5,5.0,41.891118,-87.654491
1,79.0,55.0,0.0,0.0,29.33,10.5,5.0,41.723195,-87.64997
0,75.0,53.0,0.0,0.0,29.4,4.2,24.0,41.95469,-87.800991
0,74.0,50.0,0.0,0.0,29.47,4.5,22.0,41.891118,-87.654491
1,74.0,50.0,0.0,0.0,29.47,4.5,22.0,41.720848,-87.666014
1,75.0,53.0,0.0,0.0,29.4,4.2,24.0,41.986921,-87.689778
1,78.0,67.0,0.0,0.23,29.36,1.5,23.0,41.95469,-87.800991
0,78.0,66.0,0.0,0.36,29.42,2.5,24.0,41.891118,-87.654491
1,78.0,66.0,0.0,0.36,29.42,2.5,24.0,41.867108,-87.654224
0,78.0,67.0,0.0,0.23,29.36,1.5,23.0,41.944869,-87.832763
0,89.0,64.0,0.0,0.0,29.29,3.9,10.0,41.95469,-87.800991
1,89.0,64.0,0.0,0.0,29.29,3.9,10.0,41.95469,-87.800991
0,87.0,65.0,0.0,0.0,29.36,4.2,10.0,41.891118,-87.654491
1,87.0,65.0,0.0,0.0,29.36,4.2,10.0,41.732984,-87.649642
0,86.0,58.0,0.0,0.0,29.38,4.7,20.0,41.95469,-87.800991
0,85.0,55.0,0.0,0.0,29.44,4.3,17.0,41.891118,-87.654491
1,85.0,55.0,0.0,0.0,29.44,4.3,17.0,41.921965,-87.632085
1,86.0,58.0,0.0,0.0,29.38,4.7,20.0,41.916265,-87.800515
0,82.0,59.0,0.0,0.0,29.28,7.0,35.0,41.95469,-87.800991
1,82.0,59.0,0.0,0.0,29.28,7.0,35.0,41.95469,-87.800991
0,83.0,58.0,0.0,0.06,29.34,6.8,34.0,41.891118,-87.654491
1,83.0,58.0,0.0,0.06,29.34,6.8,34.0,41.921965,-87.632085
0,84.0,68.0,0.0,0.84,29.14,8.3,16.0,41.95469,-87.800991
0,84.0,66.0,0.0,0.0,29.21,7.8,16.0,41.891118,-87.654491
1,84.0,66.0,0.0,0.0,29.21,7.8,16.0,41.921965,-87.632085
1,84.0,68.0,0.0,0.84,29.14,8.3,16.0,41.944869,-87.832763
0,75.0,52.0,2.0,0.0,29.34,3.8,8.0,41.95469,-87.800991
0,75.0,52.0,0.0,0.0,29.4,4.1,9.0,41.891118,-87.654491
1,75.0,52.0,2.0,0.0,29.34,3.8,8.0,41.964242,-87.757639
1,75.0,52.0,0.0,0.0,29.4,4.1,9.0,41.776156,-87.778927
